selection_id,rank,category,module,result,title_relevance,validity,robustness,interpretability,replication,novelty,clarity,space_efficiency,paper_use
S01,1,A_main,Corrected Transformer forecasting pipeline,"Raw pooled ROC-AUC 0.789814 on 21,514 test windows; calibrated Brier 0.110920",high,moderate,high arithmetic; adaptive test,context,limited,low alone,high,high,Establish the real model and apparent headline performance before falsification.
S02,2,A_main,"Static-prior, within-asset and temporal-order falsification",Asset prior 0.823906 > Transformer 0.789814; within AUC 0.491638; negligible order effects,very high,high within adaptive evidence class,high,high,partial,apparently distinctive combination,very high,very high,Central methodological result.
S03,3,A_main,Controlled simulation and fixed cross-model recurrence,"1,040 simulations pass all mechanism gates; 0/5 empirical model gates pass",high,high for mechanism; adaptive empirical panel,high,high,simulation plus model-family recurrence,moderate,high,high,Separates metric mechanism from one-model accident.
S04,4,B_supporting,"Identity removal, swap and representation probes",No-ID AUC 0.715477; identity accuracy 0.166930 versus chance about 0.0127,very high,post-hoc diagnostic,multi-control,high but non-causal,within project,moderate,high,medium,Supports shortcut interpretation.
S05,5,B_supporting,Experiment A static plus dynamic residual,Gate failed; selected test within AUC 0.525360,high,valid negative,bounded controls,high,none,moderate,medium,medium,One sentence/table robustness.
S06,6,B_supporting,Experiment B within-asset objective,Gate failed; selected test within AUC 0.561924 with CI crossing 0.5,high,valid negative,three seeds and controls,medium,none,moderate,medium,medium,Shows a direct recovery attempt was inconclusive.
S07,7,B_supporting,Experiment C continuous downside,Gate failed; Transformer MAE materially worse than simple controls,medium,valid negative,block/subperiod/order checks,medium,none,low,high,medium,Rules out target-binarisation as the sole explanation.
S08,8,C_one_line,Bounded regime analysis,0/14 regimes pass; latent analysis locked,high,post-hoc,strict gate,medium,none,low,high,very high,One sentence negative.
S09,9,D_viva,Interpretability attribution suite,Macro/context and asset identity perturbations largest; one randomisation sanity condition fails,very high,limited diagnostic,multiple methods/seeds,bounded,none,low,medium,low,Viva/supplement; no causal ranking.
S10,10,D_viva,External checks,Japan partial shortcut pattern; ECB/Bank of Canada temporal lifts inconclusive,medium,mixed,adversarial,medium,partial/inconclusive,moderate,low,low,Viva and limitations.
S11,11,E_excluded,Original Phase 2D stress headline,Superseded by static-prior and within-asset falsification,high,insufficient for headline,superseded,low,none,low,misleading alone,low,Do not present as positive model superiority.
S12,12,E_excluded,Attention as explanation,Diagnostic only,medium,inadmissible explanation,fails explanatory standard,unsafe,none,none,misleading,low,Exclude explanatory claim.
