work_id,type,citation_or_repository,year,dataset,asset_count,frequency,target,model,lookback,split,metric,identity_handling,pooled_grouped_evaluation,static_prior_control,temporal_order_control,direct_difference,source_url,novelty_relation
A01,academic,"Montero-Manso and Hyndman (2021), Principles and algorithms for forecasting groups of time series",2021,multiple groups of forecasting series,not a financial asset panel,varied,series forecasting,local and global forecasting framework,not reported in accessible source summary,benchmark-specific,forecast error,formalises local/global series grouping,global versus local,no,no,"Closest theory of pooled/global learning, but not financial classification or identity-shortcut falsification.",https://doi.org/10.1016/j.ijforecast.2021.03.004,established global/local foundation
A02,academic,"Salinas et al. (2020), DeepAR",2020,several real-world forecasting datasets,many related series,varied,probabilistic future values,autoregressive recurrent network,model/dataset-specific,out-of-sample benchmark,probabilistic forecast accuracy,related-series global model; static covariates supported in implementations,global forecasting,no comparable classification prior,no,"Establishes global sequence modelling, not pooled ROC shortcut analysis.",https://doi.org/10.1016/j.ijforecast.2019.07.001,established global neural forecasting
A03,academic,"Lim et al. (2021), Temporal Fusion Transformers",2021,multi-horizon benchmark datasets,not a financial multi-asset panel,varied,multi-horizon regression/quantiles,TFT,dataset-specific,temporal benchmark splits,quantile loss and forecast error,static covariate encoders,dataset-specific,no,no,Interpretable forecasting architecture; does not test entity-prior ROC inflation or order destruction.,https://doi.org/10.1016/j.ijforecast.2021.03.012,established interpretability architecture
A04,academic,"Nie et al. (2023), PatchTST",2023,"ETT, electricity, traffic, weather and related LTSF benchmarks",multivariate channels,benchmark-specific,long-horizon values,channel-independent patched Transformer,"multiple, including long lookbacks",standard LTSF splits,MSE/MAE,shared channel-independent weights,channel-wise benchmark aggregation,no,no registered destruction bundle,"Tests tokenisation and long context, not asset identity and within-asset discrimination.",https://openreview.net/pdf/2e4e6db8733d24f382a7e57c9b3d53d7e0061ade.pdf,established Transformer comparator
A05,academic,"Liu et al. (2024), iTransformer",2024,standard multivariate forecasting benchmarks,hundreds of variates on some datasets,benchmark-specific,future values,inverted Transformer,arbitrary/multiple,standard benchmark splits,MSE/MAE,variables are tokens; no financial asset-prior audit,benchmark aggregate,no,no registered financial order-control bundle,"Varied tokenisation, but not the dissertation's cross-sectional-prior falsification question.",https://proceedings.iclr.cc/paper_files/paper/2024/hash/2ea18fdc667e0ef2ad82b2b4d65147ad-Abstract-Conference.html,established Transformer comparator
A06,academic,"Zeng et al. (2023), Are Transformers Effective for Time Series Forecasting?",2023,nine real-life LTSF datasets,multivariate channels,benchmark-specific,long-horizon values,DLinear/NLinear versus Transformers,benchmark-specific,standard LTSF splits,MSE/MAE,not an entity-prior study,dataset aggregate,"linear temporal baselines, not label priors",architecture studies; not the full registered bundle,"Closest challenge to Transformer temporal extraction, but no heterogeneous multi-asset ROC mechanism.",https://doi.org/10.1609/aaai.v37i9.26317,close methodological precedent
A07,academic,"Li et al. (2024), MASTER",2024,CSI300 and CSI800 stock universes,about 300/800 per date,daily,stock-return ranking,market-guided stock Transformer,8 days,chronological train/validation/test,"IC, RankIC and portfolio metrics",cross-stock and market information; no explicit static-prior falsification,cross-sectional per-date ranking,no,no,"Closest financial Transformer, but evaluates cross-sectional ranking rather than within-asset timing; repository discloses validation/test processing issues.",https://doi.org/10.1609/aaai.v38i1.27767,closest financial architecture comparator
A08,academic,"Shao et al. (2022), Spatial-Temporal Identity",2022,"PEMS04/07/08, PEMS-BAY, Electricity",170 to 883 sensors/336 variables,5-minute or hourly,future traffic/electricity values,MLP with spatial and temporal identity embeddings,dataset-specific,standard chronological benchmark splits,MAE/RMSE/MAPE,identity is an intentional predictive input with ablation,aggregate over sensors,no label-prior comparator,no,Shows identity can be useful; dissertation asks when identity inflates pooled discrimination without timing skill.,https://arxiv.org/abs/2208.05233,closest identity-input precedent
A09,academic,"Sirignano and Cont (2019), Universal features of price formation",2019,billions of US equity order-book quotes/trades,many US stocks,high frequency,subsequent price movement,pooled deep neural network,many recent order-book observations,out-of-sample across stocks/times,prediction accuracy,pooled universal versus stock-specific models,cross-stock transfer,not the dissertation's label prior,"history-length/path-dependence analysis, no registered destruction bundle",Positive microstructure evidence for pooled dynamics; different information set and much higher frequency.,https://doi.org/10.1080/14697688.2019.1622295,important counterpoint
A10,academic,"Zhang et al. (2019), DeepLOB",2019,FI-2010 and LSE limit-order-book data,FI-2010 has 5 stocks,event/high frequency,future mid-price movement classes,CNN-Inception-LSTM,100 order-book updates in FI-2010 setup,chronological benchmark protocol,accuracy/precision/recall/F1,pooled benchmark; no static asset-prior audit,benchmark aggregate,no,no,"Financial sequence prediction at microstructure scale, not heterogeneous daily pooled ROC analysis.",https://arxiv.org/abs/1808.03668,financial deep-learning comparator
A11,academic,"Janes and Pepe (2009), Covariate-adjusted ROC",2009,biomarker illustration and simulations,not applicable,not time series,binary classification,covariate-adjusted ROC estimators,not applicable,statistical estimation,covariate-adjusted ROC,explicit adjustment for covariates affecting marker distributions,pooled versus covariate-adjusted discrimination,conceptually related,not applicable,Statistical precedent that pooled ROC can be misleading under covariate heterogeneity; dissertation applies an adversarial financial sequence framework.,https://doi.org/10.1093/biomet/asp002,closest metric-theory precedent
A12,academic,"Geirhos et al. (2020), Shortcut learning in deep neural networks",2020,cross-domain perspective,not applicable,not applicable,general prediction,deep networks,not applicable,challenging-distribution evaluation,task-specific,shortcut features broadly defined,not financial,conceptual,not financial,Provides shortcut-learning theory; dissertation operationalises it for pooled financial forecasting.,https://doi.org/10.1038/s42256-020-00257-z,established conceptual foundation
A13,academic,"Hewitt and Liang (2019), Designing and Interpreting Probes with Control Tasks",2019,NLP representations,not applicable,not applicable,representation probe tasks,linear/MLP probes,not applicable,train/test probe evaluation,accuracy and selectivity,control tasks distinguish representation content from probe memorisation,not financial,control tasks,no,"Methodological basis for cautious identity/state probes, not a financial forecasting study.",https://doi.org/10.18653/v1/D19-1275,probe methodology foundation
A14,academic,"Jain and Wallace (2019), Attention is not Explanation",2019,NLP classification tasks,not applicable,not applicable,text classification,attention-based neural models,not applicable,task-specific,prediction and explanation diagnostics,not applicable,not applicable,no,alternative attention distributions,"Supports treating financial attention only as a diagnostic, not an explanation.",https://doi.org/10.18653/v1/N19-1357,interpretability caveat
A15,academic,"Cerqueira, Torgo and Mozetic (2019), Evaluating time-series forecasting models",2019,62 real and 3 synthetic time series,65 series,varied,forecast values,multiple performance-estimation procedures,model-specific,cross-validation versus temporally ordered out-of-sample,forecast loss estimation,not central,across series,no,evaluation preserves order,Supports chronology-preserving validation but does not address overlapping multi-asset labels or identity shortcuts.,https://arxiv.org/abs/1905.11744,validation methodology foundation
