claim_id,claim,classification,evidence_for,evidence_against,adjudication,main_source
C01,The corrected pooled Transformer discriminates the original multi-asset stress target.,authoritative descriptive,raw pooled ROC-AUC 0.789814; PR-AUC 0.421056,static priors are stronger; test is adaptive,"Use only as pipeline context, not model superiority.",ifddrp_authoritative_metric_registry.csv
C02,The Transformer outperforms strong static baselines.,rejected,none on authoritative pooled ranking,asset prior 0.823906 and family prior 0.816549 exceed 0.789814,Explicitly state the opposite.,ifddrp_identity_dynamic_information_decomposition.csv
C03,The Transformer learned useful within-asset temporal ranking.,rejected,some non-selected or validation rows exceed 0.5,authoritative within AUC 0.491638; no chronology gate passes,No demonstrated within-asset temporal skill.,prp1_fixed_cross_model_temporal_skill_gates.csv
C04,Explicit asset identity materially affects pooled Transformer ranking.,supported post-hoc,no-ID pooled AUC 0.715477; ID probe 0.166930,ablation does not isolate all implicit identity fingerprints,Use as bounded shortcut evidence.,ifddrp_identity_dynamic_information_decomposition.csv
C05,The tested Transformer requires chronological order.,rejected,none under registered controls,reverse/permutation/shift barely change pooled ranking,Report near invariance for this model and task only.,ifddrp_interpretability_sanity_checks.csv
C06,Cross-asset label-prior heterogeneity can inflate pooled ROC-AUC without dynamics.,supported mechanism,"1,040-run registered simulation; all five gates pass",stylised simulation is not an empirical causal estimate,Main methodological evidence with scope caveat.,prp1_study_a_independent_simulation_gate_inference.csv
C07,Within-asset evaluation recovers genuine signal when genuine signal exists.,supported in simulation,strong-signal within AUC 0.783997; no-signal 0.500086,not recovered robustly in the historical panel,"Method validation, not empirical positive result.",prp1_study_a_independent_simulation_gate_inference.csv
C08,Within-asset-aligned training recovered dissertation-worthy temporal skill.,rejected,selected point estimate 0.561924,interval crosses 0.5; paired lift and order gates fail,Valid negative; retain as robustness.,ifddrp_within_asset_objective_verdict.md
C09,Continuous downside forecasting rescued the Transformer result.,rejected,positive Spearman 0.255642,MAE is much worse than ridge and asset mean; no order sensitivity,Primary metric governs; no rescue.,ifddrp_continuous_downside_verdict.md
C10,Macro/context inputs are the causal economic explanation.,unsafe,largest mean zero-occlusion response 0.160730,current-vintage provenance limit; attribution sanity limits; perturbation is not causal,Describe sensitivity only.,ifddrp_transformer_interpretability_verdict.md
C11,Attention weights explain the forecast.,unsafe,attention diagnostics exist,attention is retained only as supplementary diagnostic,Exclude explanatory language.,ifddrp_transformer_interpretability_verdict.md
C12,Emergent predictive market dynamics were discovered.,not supported literally,state and identity information are decodable,no within-asset/order gate; 0 regimes pass,Interpret title as discovering that apparent dynamics were mainly static shortcut structure.,ifddrp_title_alignment_verdict.md
C13,The combined falsification framework is unprecedented.,unsafe novelty,closest-work audit found no single comparator with the full bundle,individual components are established and search is not exhaustive,"Call the combination apparently distinctive or underexplored, never first-ever.",ifddrp_novelty_claims_register.md
