deviation_id,stage,deviation,timing,severity,effect,resolution,status
D01,historical programme,The final historical test was inspected repeatedly across phases.,known before final bounded protocol,major,"All final historical results are adaptive, not independent confirmation.",Preserve labels; require external/prospective confirmation for strong claims.,intrinsic_unresolved
D02,Phase 6 reporting,Validation-calibrated scores were historically used for some ROC/PR and grouped-ranking summaries.,found in final reconciliation,moderate,Tie-inducing isotonic calibration caused small ranking-metric discrepancies.,Raw scores are authoritative for ranking; calibrated scores for proper/decision metrics.,superseded_reporting
D03,pre-Phase 6 split,A purge of 10 global dates left 180 boundary-crossing labels.,historical,major,Threshold metrics were affected; pooled ranking changed little.,Retrained with measured purge 18 and one-date embargo.,corrected
D04,pre-Phase 6 panel,Union-calendar placeholders contaminated eligibility and historical coverage.,historical,critical,Incorrect windows and label coverage.,Observed-session construction enforced; corrected Transformer is authoritative.,corrected
D05,final bounded protocol,"Protocol amendment 1 clarified zeroed no-ID channels, pair registry, per-asset price source and raw ranking scores.",pre-result after implementation audits,moderate,Made executable contract explicit without result-informed tuning.,Versioned amendment retained.,documented
D06,Experiment B,Four validation assets lacked both-class pair support.,execution,moderate,Within-asset pair metric covers 75 validation assets rather than all 79.,Pair support reported; no synthetic pairs or eligibility relaxation.,reported
D07,Experiment C,"The continuous outcome is maximum origin-to-path loss, not peak-to-trough drawdown.",implementation audit,moderate,Economic interpretation is narrower than the word drawdown can imply.,Use exact maximum adverse total-return movement wording.,terminology_corrected
D08,Experiment C,The ridge sequence-summary control uses registered summary/lag features rather than a fully flattened sequence.,protocol execution,minor,Comparator label must remain precise.,Call it ridge sequence-summary control.,reported
D09,Experiments A/B,No-ID fixed-width neural arms retain 12 immutable zero channels.,pre-result audit,minor,Parameter shapes remain comparable; channels carry no identity information.,Document and test zero channels.,documented
D10,final interpretability,Initial rerun inherited Phase 1 groups instead of the fixed final feature groups.,found before final evidence freeze,moderate,"Group labels and allocations were inconsistent, but checkpoints and predictions were unchanged.",Explicit exhaustive 34-feature partition; checkpoint-only rerun; updated reports.,corrected
D11,macro inputs,Seven FRED inputs are current-vintage/provenance-limited rather than fully ALFRED-vintage reconstructed.,known,major,Positive macro attribution or causal claims are inadmissible.,Retain only as sensitivity; require point-in-time replication.,implementation_limited
D12,simulation,Simulation remains stylised despite independent extension with common shocks and dependence controls.,design,moderate,"Shows mechanism sufficiency, not empirical prevalence or causality.",Constrain claim language and seek external calibration.,caveated
D13,fixed cross-model panel,The smoke manifest did not exercise every arm before full execution.,post-execution audit,moderate,Weakens process assurance but did not change the negative scientific verdict.,Post-execution artifact and summary audit completed.,mitigated
D14,all ten-session targets,Neighbouring origins have overlapping outcome windows.,by design,major,Naive row-wise uncertainty would be anti-conservative.,Use date-block inference and non-overlapping-origin sensitivity; do not treat rows as independent.,mitigated
