result_id,module,question,status,result_direction,primary_estimate,uncertainty_or_gate,evidence_class,paper_role,source_files,permitted_claim,prohibited_claim
R01,corrected_transformer_pipeline,Can the corrected pooled Transformer rank the original stress label?,completed,descriptive_positive,raw pooled ROC-AUC 0.789814,opened adaptive test; not a superiority gate,historical held-out but adaptive,main-paper context,ifddrp_authoritative_metric_registry.csv; ifddrp_transformer_authoritative_specification.md,The corrected Transformer achieved strong pooled discrimination on the heterogeneous label.,The Transformer demonstrated genuine temporal skill or superiority.
R02,static_prior_falsification,Does a training-only static prior explain pooled ranking?,completed,positive_falsification,asset prior 0.823906; family prior 0.816549,both exceed Transformer 0.789814,post-hoc robustness,principal contribution 2,ifddrp_identity_dynamic_information_decomposition.csv,Static cross-sectional priors outperformed the tested Transformer in pooled ROC-AUC.,All pooled financial models are shortcuts.
R03,within_asset_evaluation,Does pooled ranking translate to within-asset timing?,completed,negative,pair-weighted within-asset ROC-AUC 0.491638,cross-model strict gate failed,post-hoc robustness,principal contribution 2,ifddrp_identity_dynamic_information_decomposition.csv; prp1_fixed_cross_model_temporal_skill_gates.csv,The tested Transformer did not show useful within-asset ranking.,No financial time series contain temporal information.
R04,identity_ablation,Does explicit identity affect pooled ranking?,completed,positive_falsification,pooled AUC fell 0.789814 to 0.715477,within AUC remained below chance,post-hoc robustness,main supporting evidence,ifddrp_identity_dynamic_information_decomposition.csv,Explicit identity materially affected pooled ranking.,The drop identifies a causal identity mechanism.
R05,representation_probe,Is asset identity decodable from Transformer summaries?,completed,positive_diagnostic,test accuracy 0.166930 versus chance about 0.0127,post-hoc probe; decodability is not use,post-hoc robustness,supporting/viva,ifddrp_transformer_state_probe_results.csv,Asset identity was materially decodable from learned summaries.,The probe proves identity caused every prediction.
R06,temporal_order_controls,Does the Transformer require sequence order?,completed,negative,pooled AUC changes approximately -0.0014 to +0.0012,"reverse, deterministic permutation and circular shift all fail dynamic condition",post-hoc robustness,principal contribution 2,ifddrp_interpretability_sanity_checks.csv; prp1_fixed_cross_model_temporal_order.csv,The tested Transformer ranking was nearly invariant to the registered full-window order controls.,Transformers are generally order invariant.
R07,controlled_simulation,Can target-prior heterogeneity inflate pooled AUC without dynamics?,completed,positive_methodological,static-prior AUC increase 0.400021; no-signal within AUC 0.500086,"1,040 runs; all five registered gates pass",simulation,principal contribution 3,prp1_study_a_independent_simulation_gate_inference.csv,Controlled heterogeneity can generate large pooled discrimination without temporal signal.,Simulation proves the empirical panel has exactly that data-generating process.
R08,cross_model_recurrence,Do shortcut concerns recur across bounded model families?,completed,negative,best learned pooled MLP 0.796478; best learned within MLP 0.556967,0 of 5 strict temporal-skill gates pass,historical held-out but adaptive,principal contribution 3,prp1_fixed_cross_model_results.csv; prp1_fixed_cross_model_temporal_skill_gates.csv,No tested model passed the registered chronology-dependent temporal-skill gate.,Every architecture or dataset would fail.
R09,experiment_a_static_dynamic,Does a temporal residual add value after static priors?,completed_gate_failed,valid_negative,selected test within AUC 0.525360,paired lift and order-sensitivity requirements failed,valid negative,supporting robustness,ifddrp_static_dynamic_verdict.md,No promotable incremental temporal residual was recovered.,The highest non-selected test row is a discovery.
R10,experiment_b_within_objective,Does within-asset-aligned training recover temporal skill?,completed_gate_failed,valid_negative,selected test within AUC 0.561924,95% interval crosses 0.5; paired lift and chronology fail,valid negative,supporting robustness,ifddrp_within_asset_objective_verdict.md,A descriptive improvement did not satisfy the promotion gate.,Within-asset ranking training solved the shortcut problem.
R11,experiment_c_continuous_downside,Does a continuous downside outcome reveal temporal skill?,completed_gate_failed,valid_negative,Transformer equal-asset MAE 0.037816 versus asset mean 0.020896,80.98% relative deterioration; chronology intervals cross zero,valid negative,supporting robustness,ifddrp_continuous_downside_verdict.md,The selected Transformer did not improve continuous downside MAE.,Continuous risk outcomes are generally unforecastable.
R12,interpretability,Which registered inputs most change the conditioned model score?,completed_limited,diagnostic,macro/context occlusion 0.160730; asset embedding occlusion 0.136454,parameter-randomisation control failed; macro provenance limited,post-hoc robustness,supporting/viva,ifddrp_transformer_feature_attribution.csv; ifddrp_interpretability_sanity_checks.csv,These groups change model outputs under bounded perturbations.,They are causal economic drivers or faithful explanations.
R13,regime_analysis,Is there a stable regime-specific temporal result?,completed_gate_failed,negative,0 of 14 regimes pass strict dynamic gate,full latent-state analysis remains locked,post-hoc robustness,one-line negative,ifddrp_regime_conditional_verdict.md; ifddrp_emergent_dynamics_gate.md,No registered regime established chronology-dependent within-asset skill.,Regimes do not exist.
R14,external_replication,Does the mechanism generalise beyond the main panel?,partial_inconclusive,mixed,Japan partial shortcut pattern; ECB and Bank of Canada incremental lifts inconclusive,not full provider-independent confirmation,adaptive external replication,supporting/viva,prp1_study_a_publication_assessment.md,External checks were mixed and did not independently confirm temporal lift.,The main finding is independently replicated.
